,Name,OvPck,Pos,RdPck,Rnd,Tm,Type,WAR,Year
93,Doug Bair,46.0,RHP,22.0,2.0,Pirates,4Yr,6.9,1971.0
94,Steve Patterson,47.0,RHP,23.0,2.0,Orioles,HS,0.0,1971.0
95,William Covert,48.0,1B,24.0,2.0,Reds,HS,0.0,1971.0
96,Dave Roberts,1.0,3B,1.0,1.0,Padres,4Yr,0.4,1972.0
97,Rick Manning,2.0,SS,2.0,1.0,Indians,HS,11.7,1972.0
98,Larry Christenson,3.0,RHP,3.0,1.0,Phillies,HS,10.6,1972.0
99,Roy Howell,4.0,3B,4.0,1.0,Rangers,HS,10.9,1972.0
100,Bobby Goodman,5.0,C,5.0,1.0,Expos,HS,0.0,1972.0
101,Dan Thomas,6.0,1B,6.0,1.0,Brewers,4Yr,0.8,1972.0
102,Larry Payne,7.0,RHP,7.0,1.0,Reds,HS,0.0,1972.0
103,Dick Ruthven,8.0,RHP,8.0,1.0,Twins,4Yr,18.6,1972.0
104,Steve Englishbey,9.0,OF,9.0,1.0,Astros,HS,0.0,1972.0
105,Dave Chalk,10.0,3B,10.0,1.0,Angels,4Yr,8.4,1972.0
106,Preston Hanna,11.0,RHP,11.0,1.0,Braves,HS,1.8,1972.0
107,Mike Ondina,12.0,OF,12.0,1.0,White Sox,HS,0.0,1972.0
108,Richard Bengston,13.0,C,13.0,1.0,Mets,HS,0.0,1972.0
109,Scott McGregor,14.0,LHP,14.0,1.0,Yankees,HS,20.4,1972.0
110,Brian Vernoy,15.0,LHP,15.0,1.0,Cubs,HS,0.0,1972.0
111,Joel Bishop,16.0,SS,16.0,1.0,Red Sox,HS,0.0,1972.0
112,John Harbin,17.0,SS,17.0,1.0,Dodgers,4Yr,0.0,1972.0
113,Jamie Quirk,18.0,SS,18.0,1.0,Royals,HS,0.8,1972.0
114,Rob Dressler,19.0,RHP,19.0,1.0,Giants,HS,2.5,1972.0
115,Jerry Manuel,20.0,SS,20.0,1.0,Tigers,HS,-0.6,1972.0
116,Dan Larson,21.0,RHP,21.0,1.0,Cardinals,HS,-0.7,1972.0
117,Chet Lemon,22.0,SS,22.0,1.0,Athletics,HS,55.5,1972.0
118,Dwayne Peltier,23.0,SS,23.0,1.0,Pirates,HS,0.0,1972.0
119,Ken Thomas,24.0,C,24.0,1.0,Orioles,HS,0.0,1972.0
120,Mike Allen,25.0,RHP,1.0,2.0,Padres,HS,0.0,1972.0
121,Bob Grossman,26.0,RHP,2.0,2.0,Indians,4Yr,0.0,1972.0
122,Tom Underwood,27.0,LHP,3.0,2.0,Phillies,HS,10.5,1972.0
123,Ron Pruitt,28.0,C,4.0,2.0,Rangers,4Yr,-0.1,1972.0
124,Ellis Valentine,29.0,C,5.0,2.0,Expos,HS,17.0,1972.0
125,Jerry Mantlo,30.0,C,6.0,2.0,Brewers,4Yr,0.0,1972.0
126,Randy Wallace,31.0,3B,7.0,2.0,Reds,HS,0.0,1972.0
127,Clay Westlake,32.0,C,8.0,2.0,Twins,HS,0.0,1972.0
128,Stan Floyd,33.0,C,9.0,2.0,Astros,HS,0.0,1972.0
129,Bruce Bochte,34.0,1B,10.0,2.0,Angels,4Yr,19.3,1972.0
130,George Lusic,35.0,RHP,11.0,2.0,Braves,HS,0.0,1972.0
131,Cleo Kilpatrick,36.0,OF,12.0,2.0,White Sox,HS,0.0,1972.0
132,Craig Skoglund,37.0,OF,13.0,2.0,Mets,HS,0.0,1972.0
133,Ken Clay,38.0,RHP,14.0,2.0,Yankees,HS,-1.2,1972.0
134,Clifford Hall,39.0,OF,15.0,2.0,Cubs,HS,0.0,1972.0
135,Steve Dillard,40.0,SS,16.0,2.0,Red Sox,4Yr,-1.3,1972.0
136,Cleo Smith,41.0,1B,17.0,2.0,Dodgers,HS,0.0,1972.0
137,Dennis Leonard,42.0,RHP,18.0,2.0,Royals,4Yr,26.3,1972.0
138,Bob Knepper,43.0,LHP,19.0,2.0,Giants,HS,22.1,1972.0
139,John Valle,44.0,3B,20.0,2.0,Tigers,HS,0.0,1972.0
140,Gary Blackwell,45.0,SS,21.0,2.0,Cardinals,HS,0.0,1972.0
141,Garret Strong,46.0,OF,22.0,2.0,Athletics,HS,0.0,1972.0
142,John Candelaria,47.0,LHP,23.0,2.0,Pirates,HS,42.4,1972.0
143,John O'Rear,48.0,SS,24.0,2.0,Orioles,HS,0.0,1972.0
144,David Clyde,1.0,LHP,1.0,1.0,Rangers,HS,0.8,1973.0
145,John Stearns,2.0,C,2.0,1.0,Phillies,4Yr,19.6,1973.0
146,Robin Yount,3.0,SS,3.0,1.0,Brewers,HS,77.0,1973.0
147,Dave Winfield,4.0,RHP,4.0,1.0,Padres,4Yr,63.8,1973.0
148,Glenn Tufts,5.0,INF,5.0,1.0,Indians,HS,0.0,1973.0
149,Johnnie LeMaster,6.0,SS,6.0,1.0,Giants,HS,-5.4,1973.0
150,Billy Taylor,7.0,OF,7.0,1.0,Angels,HS,0.0,1973.0
151,Gary Roenicke,8.0,SS,8.0,1.0,Expos,HS,15.5,1973.0
152,Lew Olsen,9.0,RHP,9.0,1.0,Royals,HS,0.0,1973.0
153,Pat Rockett,10.0,2B,10.0,1.0,Braves,HS,-5.5,1973.0
154,Eddie Bane,11.0,LHP,11.0,1.0,Twins,4Yr,-0.9,1973.0
155,Joe Edelen,12.0,3B,12.0,1.0,Cardinals,HS,-0.8,1973.0
156,Doug Heinhold,13.0,RHP,13.0,1.0,Yankees,HS,0.0,1973.0
157,Lee Mazzilli,14.0,OF,14.0,1.0,Mets,HS,15.6,1973.0
158,Mike Parrott,15.0,RHP,15.0,1.0,Orioles,HS,2.1,1973.0
159,Jerry Tabb,16.0,1B,16.0,1.0,Cubs,4Yr,-0.8,1973.0
160,Ted Cox,17.0,SS,17.0,1.0,Red Sox,HS,-1.5,1973.0
161,Ted Farr,18.0,C,18.0,1.0,Dodgers,HS,0.0,1973.0
162,Charles Bates,19.0,3B,19.0,1.0,Tigers,4Yr,0.0,1973.0
163,Calvin Portley,20.0,SS,20.0,1.0,Astros,HS,0.0,1973.0
164,Steve Swisher,21.0,C,21.0,1.0,White Sox,4Yr,-1.9,1973.0
165,Bradford Kessler,22.0,OF,22.0,1.0,Reds,HS,0.0,1973.0
166,Randy Scarbery,23.0,RHP,23.0,1.0,Athletics,4Yr,0.7,1973.0
167,Steve Nicosia,24.0,C,24.0,1.0,Pirates,HS,1.2,1973.0
168,Rich Shubert,25.0,LHP,1.0,2.0,Rangers,HS,0.0,1973.0
169,Todd Cruz,26.0,SS,2.0,2.0,Phillies,HS,0.5,1973.0
170,Joe Slaymaker,27.0,LHP,3.0,2.0,Brewers,HS,0.0,1973.0
171,Mike Champion,28.0,SS,4.0,2.0,Padres,HS,-2.1,1973.0
172,Tom McMillan,29.0,INF,5.0,2.0,Indians,4Yr,-0.2,1973.0
173,Ernest Young,30.0,C,6.0,2.0,Giants,HS,0.0,1973.0
174,Bruce Tonascia,31.0,OF,7.0,2.0,Angels,HS,0.0,1973.0
175,Pat Creech,32.0,SS,8.0,2.0,Expos,4Yr,0.0,1973.0
176,Brian Trifiolis,33.0,C,9.0,2.0,Royals,HS,0.0,1973.0
177,Steve Stone,34.0,C,10.0,2.0,Braves,HS,0.0,1973.0
178,Edward McMahon,35.0,SS,11.0,2.0,Twins,4Yr,0.0,1973.0
179,Ron Selak,36.0,RHP,12.0,2.0,Cardinals,HS,0.0,1973.0
180,Mike Heath,37.0,SS,13.0,2.0,Yankees,HS,13.4,1973.0
181,Jackson Todd,38.0,RHP,14.0,2.0,Mets,4Yr,1.6,1973.0
182,Jerry Guinn,39.0,RHP,15.0,2.0,Orioles,HS,0.0,1973.0
183,Darrell Turner,40.0,RHP,16.0,2.0,Cubs,HS,0.0,1973.0
184,Fred Lynn,41.0,OF,17.0,2.0,Red Sox,4Yr,50.0,1973.0
185,Mike Paciorek,42.0,SS,18.0,2.0,Dodgers,HS,0.0,1973.0
186,Kevin Slattery,43.0,SS,19.0,2.0,Tigers,HS,0.0,1973.0
187,Scott Gregory,44.0,RHP,20.0,2.0,Astros,HS,0.0,1973.0
188,Jim Otten,45.0,RHP,21.0,2.0,White Sox,4Yr,-2.0,1973.0
189,Richard Jensen,46.0,LHP,22.0,2.0,Reds,HS,0.0,1973.0
190,James Tuttle,47.0,RHP,23.0,2.0,Athletics,HS,0.0,1973.0
191,Douglas Nelson,48.0,LHP,24.0,2.0,Pirates,JC,0.0,1973.0
192,Bill Almon,1.0,SS,1.0,1.0,Padres,4Yr,4.8,1974.0
193,Tommy Boggs,2.0,RHP,2.0,1.0,Rangers,HS,2.4,1974.0
194,Lonnie Smith,3.0,OF,3.0,1.0,Phillies,HS,38.4,1974.0
195,Tom Brennan,4.0,RHP,4.0,1.0,Indians,4Yr,0.9,1974.0
196,Dale Murphy,5.0,C,5.0,1.0,Braves,HS,46.2,1974.0
197,Butch Edge,6.0,RHP,6.0,1.0,Brewers,HS,0.1,1974.0
198,Scot Thompson,7.0,OF,7.0,1.0,Cubs,HS,-5.5,1974.0
199,Larry Monroe,8.0,RHP,8.0,1.0,White Sox,HS,0.1,1974.0
200,Ron Sorey,9.0,3B,9.0,1.0,Expos,HS,0.0,1974.0
201,Mike Miley,10.0,SS,10.0,1.0,Angels,4Yr,-0.9,1974.0
202,Rod Scurry,11.0,LHP,11.0,1.0,Pirates,HS,5.8,1974.0
203,Dennis Sherrill,12.0,SS,12.0,1.0,Yankees,HS,-0.1,1974.0
204,Garry Templeton,13.0,SS,13.0,1.0,Cardinals,HS,27.6,1974.0
205,Ted Shipley,14.0,SS,14.0,1.0,Twins,4Yr,0.0,1974.0
206,Kevin Drake,15.0,OF,15.0,1.0,Astros,HS,0.0,1974.0
207,Lance Parrish,16.0,INF,16.0,1.0,Tigers,HS,39.3,1974.0
208,Cliff Speck,17.0,RHP,17.0,1.0,Mets,HS,0.3,1974.0
209,Willie Wilson,18.0,OF,18.0,1.0,Royals,HS,46.0,1974.0
210,Terry Lee,19.0,2B,19.0,1.0,Giants,HS,0.0,1974.0
211,Eddie Ford,20.0,SS,20.0,1.0,Red Sox,4Yr,0.0,1974.0
212,Rick Sutcliffe,21.0,RHP,21.0,1.0,Dodgers,HS,34.3,1974.0
213,Jerry Johnson,22.0,C,22.0,1.0,Athletics,HS,0.0,1974.0
214,Steve Reed,23.0,RHP,23.0,1.0,Reds,HS,0.0,1974.0
215,Rich Dauer,24.0,SS,24.0,1.0,Orioles,4Yr,14.4,1974.0
216,Donnie Alfano,25.0,1B,1.0,2.0,Padres,HS,0.0,1974.0
217,Jeff Byrd,26.0,RHP,2.0,2.0,Rangers,HS,-1.1,1974.0
218,Kevin Saucier,27.0,LHP,3.0,2.0,Phillies,HS,2.3,1974.0
219,Rickey Howerton,28.0,C,4.0,2.0,Indians,HS,0.0,1974.0
220,Joey McLaughlin,29.0,RHP,5.0,2.0,Braves,HS,4.7,1974.0
221,Moose Haas,30.0,RHP,6.0,2.0,Brewers,HS,17.6,1974.0
222,Mike Sember,31.0,SS,7.0,2.0,Cubs,4Yr,-0.1,1974.0
223,Jack Kucek,32.0,RHP,8.0,2.0,White Sox,4Yr,-1.4,1974.0
224,Jerry Fry,33.0,SS,9.0,2.0,Expos,HS,-0.4,1974.0
225,Marty Martinson,34.0,C,10.0,2.0,Angels,HS,0.0,1974.0
226,Gary Hargis,35.0,INF,11.0,2.0,Pirates,HS,0.0,1974.0
227,Dave Bergman,36.0,1B,12.0,2.0,Yankees,4Yr,7.0,1974.0
228,Robert Hrapman,37.0,SS,13.0,2.0,Cardinals,4Yr,0.0,1974.0
229,Butch Wynegar,38.0,C,14.0,2.0,Twins,HS,26.3,1974.0
230,Jeff Smith,39.0,SS,15.0,2.0,Astros,HS,0.0,1974.0
231,James Taylor,40.0,LHP,16.0,2.0,Tigers,HS,0.0,1974.0
232,Dwight Bernard,41.0,RHP,17.0,2.0,Mets,4Yr,-0.4,1974.0
233,Bobby Edmondson,42.0,C,18.0,2.0,Royals,HS,0.0,1974.0
234,Kenny Kolkhorst,43.0,C,19.0,2.0,Giants,HS,0.0,1974.0
235,Jimmy Schankle,44.0,C,20.0,2.0,Red Sox,HS,0.0,1974.0
236,Steve Shirley,45.0,LHP,21.0,2.0,Dodgers,HS,0.1,1974.0
237,Jim Loftin,46.0,LHP,22.0,2.0,Athletics,HS,0.0,1974.0
238,Mike Grace,47.0,3B,23.0,2.0,Reds,HS,0.0,1974.0
239,Craig Ryan,48.0,1B,24.0,2.0,Orioles,4Yr,0.0,1974.0
240,Danny Goodwin,1.0,C,1.0,1.0,Angels,4Yr,-1.7,1975.0
241,Mike Lentz,2.0,LHP,2.0,1.0,Padres,HS,0.0,1975.0
242,Les Filkins,3.0,OF,3.0,1.0,Tigers,HS,0.0,1975.0
243,Brian Rosinski,4.0,OF,4.0,1.0,Cubs,HS,0.0,1975.0
244,Rick O'Keeffe,5.0,LHP,5.0,1.0,Brewers,HS,0.0,1975.0
245,Butch Benton,6.0,C,6.0,1.0,Mets,HS,-0.9,1975.0
246,Rick Cerone,7.0,C,7.0,1.0,Indians,4Yr,8.1,1975.0
247,Ted Barnicle,8.0,LHP,8.0,1.0,Giants,4Yr,0.0,1975.0
248,Clint Hurdle,9.0,OF,9.0,1.0,Royals,HS,2.8,1975.0
249,Art Miles,10.0,SS,10.0,1.0,Expos,HS,0.0,1975.0
250,Chris Knapp,11.0,RHP,11.0,1.0,White Sox,4Yr,0.4,1975.0
251,Sammye Welborn,12.0,RHP,12.0,1.0,Phillies,HS,0.0,1975.0
252,Rick Sofield,13.0,SS,13.0,1.0,Twins,HS,-0.7,1975.0
253,Bo McLaughlin,14.0,RHP,14.0,1.0,Astros,4Yr,-3.0,1975.0
254,Otis Foster,15.0,1B,15.0,1.0,Red Sox,4Yr,0.0,1975.0
255,David Johnson,16.0,LHP,16.0,1.0,Cardinals,HS,0.0,1975.0
256,Jim Gideon,17.0,RHP,17.0,1.0,Rangers,4Yr,-0.2,1975.0
257,Donald Young,18.0,C,18.0,1.0,Braves,HS,0.0,1975.0
258,Jim McDonald,19.0,1B,19.0,1.0,Yankees,HS,0.0,1975.0
259,Dale Berra,20.0,SS,20.0,1.0,Pirates,HS,5.4,1975.0
260,Bruce Robinson,21.0,C,21.0,1.0,Athletics,4Yr,-0.4,1975.0
261,Tony Moretto,22.0,OF,22.0,1.0,Reds,HS,0.0,1975.0
262,Dave Ford,23.0,RHP,23.0,1.0,Orioles,HS,1.0,1975.0
263,Mark Bradley,24.0,SS,24.0,1.0,Dodgers,HS,-0.1,1975.0
264,Jim Anderson,25.0,SS,1.0,2.0,Angels,HS,1.0,1975.0
265,Harold Drake,26.0,SS,2.0,2.0,Padres,HS,0.0,1975.0
266,John Murphy,27.0,LHP,3.0,2.0,Tigers,HS,0.0,1975.0
267,Lee Smith,28.0,RHP,4.0,2.0,Cubs,HS,29.6,1975.0
268,Charles Ross,29.0,C,5.0,2.0,Brewers,HS,0.0,1975.0
269,Rod Boxberger,30.0,RHP,6.0,2.0,Mets,HS,0.0,1975.0
270,Daniel Skiba,31.0,RHP,7.0,2.0,Indians,HS,0.0,1975.0
271,Richard Bradley,32.0,C,8.0,2.0,Giants,4Yr,0.0,1975.0
272,Pat Gillie,33.0,RHP,9.0,2.0,Royals,HS,0.0,1975.0
273,Dale McMullen,34.0,OF,10.0,2.0,Expos,HS,0.0,1975.0
274,Mitch Lukevics,35.0,RHP,11.0,2.0,White Sox,4Yr,0.0,1975.0
275,Joe Jones,36.0,C,12.0,2.0,Phillies,HS,0.0,1975.0
276,Stephen Parrott,37.0,RHP,13.0,2.0,Twins,HS,0.0,1975.0
277,Ed Andersen,38.0,RHP,14.0,2.0,Astros,HS,0.0,1975.0
278,Dave Schmidt,39.0,C,15.0,2.0,Red Sox,HS,0.3,1975.0
279,Kelly Paris,40.0,SS,16.0,2.0,Cardinals,HS,-1.0,1975.0
280,Eddie Miller,41.0,OF,17.0,2.0,Rangers,HS,-0.1,1975.0
281,Larry Whisenton,42.0,OF,18.0,2.0,Braves,HS,0.5,1975.0
282,Benny Lloyd,43.0,OF,19.0,2.0,Yankees,HS,0.0,1975.0
283,Jeffrey Pinkus,44.0,RHP,20.0,2.0,Pirates,HS,0.0,1975.0
284,Greg Cochran,45.0,RHP,21.0,2.0,Athletics,4Yr,0.0,1975.0
285,Frank Pastore,46.0,RHP,22.0,2.0,Reds,HS,4.0,1975.0
286,John Dyer,47.0,LHP,23.0,2.0,Orioles,HS,0.0,1975.0
287,Myron White,48.0,OF,24.0,2.0,Dodgers,HS,0.0,1975.0
288,Floyd Bannister,1.0,LHP,1.0,1.0,Astros,4Yr,26.9,1976.0
289,Pat Underwood,2.0,LHP,2.0,1.0,Tigers,HS,1.0,1976.0
290,Ken Smith,3.0,3B,3.0,1.0,Braves,HS,0.3,1976.0
291,Bill Bordley,4.0,LHP,4.0,1.0,Brewers,HS,-0.1,1976.0
292,Bob Owchinko,5.0,LHP,5.0,1.0,Padres,4Yr,2.1,1976.0
293,Ken Landreaux,6.0,OF,6.0,1.0,Angels,4Yr,10.4,1976.0
294,Herman Segelke,7.0,RHP,7.0,1.0,Cubs,HS,-0.1,1976.0
295,Steve Trout,8.0,LHP,8.0,1.0,White Sox,HS,13.5,1976.0
296,Bob James,9.0,RHP,9.0,1.0,Expos,HS,2.4,1976.0
297,Jamie Allen,10.0,3B,10.0,1.0,Twins,HS,-0.4,1976.0
298,Mark Kuecker,11.0,SS,11.0,1.0,Giants,HS,0.0,1976.0
299,Billy Simpson,12.0,OF,12.0,1.0,Rangers,HS,0.0,1976.0
300,Tom Thurberg,13.0,OF,13.0,1.0,Mets,HS,0.0,1976.0
301,Tim Glass,14.0,C,14.0,1.0,Indians,HS,0.0,1976.0
302,Leon Durham,15.0,1B,15.0,1.0,Cardinals,HS,16.1,1976.0
303,Pat Tabler,16.0,OF,16.0,1.0,Yankees,HS,3.0,1976.0
304,Jeff Kraus,17.0,SS,17.0,1.0,Phillies,HS,0.0,1976.0
305,Ben Grzybek,18.0,RHP,18.0,1.0,Royals,HS,0.0,1976.0
306,Mike Scioscia,19.0,C,19.0,1.0,Dodgers,HS,26.0,1976.0
307,Dallas Williams,20.0,OF,20.0,1.0,Orioles,HS,-0.6,1976.0
308,Jim Parke,21.0,RHP,21.0,1.0,Pirates,HS,0.0,1976.0
309,Bruce Hurst,22.0,LHP,22.0,1.0,Red Sox,HS,34.8,1976.0
310,Mark King,23.0,RHP,23.0,1.0,Reds,HS,0.0,1976.0
311,Thomas Sullivan,24.0,RHP,24.0,1.0,Athletics,HS,0.0,1976.0
312,Philip Klimas,25.0,3B,1.0,2.0,Astros,4Yr,0.0,1976.0
313,Alan Trammell,26.0,SS,2.0,2.0,Tigers,HS,70.4,1976.0
314,Dom Chiti,27.0,LHP,3.0,2.0,Braves,HS,0.0,1976.0
315,Melvin Manning,28.0,SS,4.0,2.0,Brewers,HS,0.0,1976.0
316,Steve Mura,29.0,RHP,5.0,2.0,Padres,4Yr,1.2,1976.0
317,Bob Ferris,30.0,RHP,6.0,2.0,Angels,4Yr,-0.1,1976.0
318,Buddy Lowe,31.0,RHP,7.0,2.0,Cubs,HS,0.0,1976.0
319,Mike Colbern,32.0,C,8.0,2.0,White Sox,4Yr,0.1,1976.0
320,Dennis Sherow,33.0,RHP,9.0,2.0,Expos,4Yr,0.0,1976.0
321,Terry Felton,34.0,RHP,10.0,2.0,Twins,HS,-1.9,1976.0
322,Thomas Hawk,35.0,RHP,11.0,2.0,Giants,HS,0.0,1976.0
323,Steve Finch,36.0,RHP,12.0,2.0,Rangers,HS,0.0,1976.0
324,Mike Scott,37.0,RHP,13.0,2.0,Mets,4Yr,22.8,1976.0
325,Sam Spence,38.0,RHP,14.0,2.0,Indians,HS,0.0,1976.0
326,Walt Pierce,39.0,3B,15.0,2.0,Cardinals,HS,0.0,1976.0
